abundance,species,genus,family,order,class,phylum,clade,superkingdom,barcode,Bird,Oxygen,Medium_name
99.64%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode01,B01,AE,MSA
96.60%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode02,B01,AE,MSA
99.72%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode03,B01,AE,MSA
99.61%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode04,B01,AE,MSA
99.72%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode05,B01,AE,MSA
99.80%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode06,B01,AE,MRS
96.01%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode07,B01,AE,MRS
96.59%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode09,B01,AE,MRS
98.33%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode10,B01,AE,MRS
99.73%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode12,B01,AE,CNA
99.62%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode14,B01,AE,CNA
99.66%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode15,B01,AE,CNA
99.63%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode18,B01,AE,CNAB
99.47%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode19,B01,AE,BBE
99.74%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode20,B01,AE,BBE
99.73%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode21,B01,AE,BBE
99.80%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode22,B01,AE,BBE
99.30%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode23,B01,AE,BBE
99.67%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode24,B02,AE,MSA
99.03%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode26,B02,AE,MSA
99.80%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode28,B02,AE,MSA
99.81%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode32,B02,AE,CNA
96.62%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode33,B02,AE,CNA
100.00%,Corynebacterium falsenii,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,Bacteria,barcode34,B02,AE,CNA
99.87%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode35,B02,AE,CNA
99.72%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode36,B02,AE,CNAB
100.00%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode37,B02,AE,CNAB
100.00%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode38,B02,AE,CNAB
99.94%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode40,B02,AE,BBE
99.90%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode41,B02,AE,BBE
99.88%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode42,B02,AE,BBE
99.88%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode43,B02,AE,BBE
99.83%,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode44,B03,AE,MSA
99.73%,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode45,B03,AE,MSA
99.80%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode46,B03,AE,MRS
99.37%,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode52,B03,AE,CNAB
99.73%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode55,B03,AE,BBE
99.64%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode56,B03,AE,BBE
99.52%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode57,B03,AE,BBE
99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode58,B03,AE,BBE
99.93%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode61,B04,AE,MSA
99.91%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode62,B04,AE,MSA
95.48%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode63,B04,AE,MSA
99.81%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode64,B04,AE,MSA
99.90%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode65,B04,AE,CNA
97.99%,Pediococcus pentosaceus,Pediococcus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode67,B04,AE,CNA
99.73%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode71,B04,AE,CNAB
99.82%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode72,B04,AE,CNAB
99.61%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode74,B04,AE,BBE
99.68%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode75,B04,AE,BBE
99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode76,B04,AE,BBE
99.79%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode77,B04,AE,BBE
97.48%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode78,B05,AE,MSA
99.84%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode79,B05,AE,MSA
99.26%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode81,B05,AE,MSA
99.20%,Bacillus safensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode83,B05,AE,MSA
99.45%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode85,B05,AE,CNA
98.68%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode86,B05,AE,CNA
99.77%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode88,B05,AE,CNAB
99.11%,Bacillus pumilus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode89,B05,AE,CNAB
99.69%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode91,B05,AE,CNAB
99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode92,B05,AE,BBE
99.87%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode93,B05,AE,BBE
99.68%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode94,B05,AE,BBE
99.78%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode95,B05,AE,BBE
99.55%,Bacillus safensis,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode99,B06,AE,CNA
99.82%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode105,B06,AE,BBE
99.76%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode106,B06,AE,BBE
99.81%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode107,B06,AE,BBE
99.87%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode108,B06,AE,BBE
99.83%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode109,B06,AE,BBE
99.74%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode112,B01,AN,MSA
99.74%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode113,B01,AN,MSA
99.86%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode114,B01,AN,MSA
99.78%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode115,B01,AN,MRS
99.74%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode116,B01,AN,MRS
97.16%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode117,B01,AN,MRS
99.67%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode121,B01,AN,CNA
97.99%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode126,B01,AN,CNAB
99.00%,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,FCB group,Bacteria,barcode127,B01,AN,CNAB
97.69%,Ligilactobacillus salivarius,Ligilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode128,B01,AN,CNAB
99.79%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode129,B01,AN,BBE
98.55%,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,FCB group,Bacteria,barcode130,B01,AN,BBE
99.76%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode131,B01,AN,BBE
99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode132,B01,AN,BBE
99.41%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode135,B02,AN,MSA
99.75%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode137,B02,AN,MSA
98.38%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode139,B02,AN,MRS
99.79%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode140,B02,AN,MRS
99.24%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode141,B02,AN,MRS
99.83%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode147,B02,AN,CNAB
99.84%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode148,B02,AN,CNAB
99.85%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode150,B02,AN,CNAB
96.80%,Eubacterium callanderi,Eubacterium,Eubacteriaceae,Clostridiales,Clostridia,Firmicutes,Terrabacteria group,Bacteria,barcode151,B02,AN,CNAB
98.83%,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,FCB group,Bacteria,barcode152,B02,AN,BBE
99.90%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode153,B02,AN,BBE
99.15%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode154,B02,AN,BBE
97.41%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode155,B02,AN,BBE
99.23%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode156,B02,AN,BBE
98.95%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode161,B03,AN,CBA
99.38%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode163,B03,AN,MRS
98.30%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode165,B03,AN,MRS
99.33%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode166,B03,AN,MRS
99.87%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode169,B03,AN,CNA
95.96%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode170,B03,AN,CNA
98.34%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode171,B03,AN,CNA
96.45%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode173,B03,AN,CNAB
98.65%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode174,B03,AN,CNAB
98.70%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode175,B03,AN,CNAB
99.18%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode177,B03,AN,BBE
99.84%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode178,B03,AN,BBE
99.72%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode179,B03,AN,BBE
99.77%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode180,B03,AN,BBE
98.83%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode181,B03,AN,BBE
99.72%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode182,B04,AN,MSA
99.16%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode183,B04,AN,MSA
99.84%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode186,B04,AN,MSA
99.59%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode187,B04,AN,MRS
99.68%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode188,B04,AN,MRS
99.65%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode189,B04,AN,MRS
98.32%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode190,B04,AN,MRS
97.67%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode191,B04,AN,MRS
99.84%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode192,B04,AN,CNA
99.72%,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode193,B04,AN,CNA
99.80%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode194,B04,AN,CNA
98.15%,Lactobacillus crispatus,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode195,B04,AN,CNA
95.62%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode199,B04,AN,CNAB
99.09%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode202,B04,AN,BBE
98.29%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode205,B04,AN,BBE
99.69%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode211,B05,AN,MRS
99.66%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode212,B05,AN,MRS
99.66%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode213,B05,AN,MRS
97.23%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode215,B05,AN,CNA
96.66%,Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode217,B05,AN,CNA
97.63%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode219,B05,AN,CNAB
99.02%,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria,barcode223,B05,AN,CNAB
96.81%,Bacteroides fragilis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,FCB group,Bacteria,barcode228,B05,AN,BBE
99.44%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode229,B06,AN,MSA
99.01%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode230,B06,AN,MSA
97.64%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode233,B06,AN,MRS
97.41%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode234,B06,AN,MRS
97.07%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode235,B06,AN,MRS
98.17%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode238,B06,AN,CNA
99.78%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode239,B06,AN,CNA
95.60%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode245,B06,AN,CNAB
99.83%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode248,B06,AN,BBE
98.08%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode249,B06,AN,BBE
99.86%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode250,B06,AN,BBE
99.83%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode251,B06,AN,BBE
99.87%,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,,Bacteria,barcode252,B06,AN,BBE