Group,Genus,Abundance
CD,Escherichia,63.67
CD,Proteus,15.05
CD,Enterococcus,9.32
CD,Limosilactobacillus,3.57
CD,Ligilactobacillus,2.58
CD,Lactobacillus,2.14
CD,Bacillus,0.97
CD,Bacteroides,0.69
CD,Eubacterium,0.31
CD,Klebsiella,0.31
CD,Lacrimispora,0.18
CD,Paenibacillus,0.16
CD,Laceyella,0.15
CD,Mediterraneibacter,0.12
CD,Shigella,0.10
CD,Others<0.1% in CD,0.67
CI,Faecalibacterium,33.41
CI,Eisenbergiella,4.63
CI,Blautia,4.37
CI,Lacrimispora,3.79
CI,Lactobacillus,2.36
CI,Ligilactobacillus,0.86
CI,Limosilactobacillus,0.41
CI,Negativibacillus,3.25
CI,Flintibacter,2.64
CI,Lachnoclostridium,2.18
CI,Dysosmobacter,1.99
CI,Flavonifractor,1.97
CI,Mediterraneibacter,1.90
CI,Butyricicoccus,1.82
CI,Bacillus,1.71
CI,Fournierella,1.63
CI,Hungatella,1.56
CI,Pseudoflavonifractor,1.42
CI,Faecalicatena,1.20
CI,Enterocloster,1.17
CI,Agathobaculum,1.03
CI,Ruthenibacterium,1.02
CI,Intestinimonas,1.00
CI,Escherichia,1.00
CI,Anaerostipes,0.96
CI,Paludicola,0.93
CI,Roseburia,0.90
CI,Gemmiger,0.86
CI,Clostridium,0.84
CI,Pseudoclostridium,0.84
CI,Anaerotruncus,0.83
CI,Anaerotignum,0.81
CI,Anaeromassilibacillus,0.80
CI,Hungateiclostridium,0.74
CI,Oscillibacter,0.67
CI,Faecalimonas,0.66
CI,Papillibacter,0.65
CI,Neglecta,0.58
CI,Eubacterium,0.56
CI,Alistipes,0.56
CI,Christensenella,0.52
CI,Fusicatenibacter,0.51
CI,Others<0.5% in CI,8.52